source_dataset,fusion_type,age,monthly_income,debt_ratio,credit_amount,loan_duration_months,late_payment_count,credit_lines,dependents,sex,housing,job,saving_accounts,checking_account,purpose,protected_group,age_group,income_group,risk_bucket,repaid,surname,postcode,state,geography,census_tract,surname_prob_group_a,surname_prob_group_b,tract_prob_group_a,tract_prob_group_b,bisg_prob_group_a,bisg_prob_group_b
give_me_some_credit,gmsc_observed_behavior_enriched_context,44,4500.0,0.608531437,9749.335042523046,42.0,0.0,15.0,2.0,male,free,3,little,moderate,car,male,35 and over,Lower income,good_watch,1,Davis,58208,ND,Hernandeztown,ND-785024,0.41489207599310474,0.5851079240068953,0.5903751939030394,0.4096248060969606,0.4826843714621542,0.5173156285378459
give_me_some_credit,gmsc_observed_behavior_enriched_context,62,2679.0,0.489179104,2202.8082124361613,21.0,0.0,5.0,0.0,male,own,3,unknown,unknown,car,male,35 and over,Lower income,observed_good,1,Huynh,08994,CO,East Ianbury,CO-745728,0.46903762459058823,0.5309623754094117,0.6824034152252632,0.31759658477473685,0.6340896269993924,0.3659103730006076
give_me_some_credit,gmsc_observed_behavior_enriched_context,58,4000.0,0.514371407,2724.0301946977706,22.0,0.0,7.0,0.0,male,own,2,rich,unknown,car,male,35 and over,Lower income,observed_good,1,Collins,43027,OR,East Alexberg,OR-807457,0.518050973492501,0.48194902650749905,0.37158394145640244,0.6284160585435976,0.36720613828559917,0.6327938617144008
give_me_some_credit,gmsc_observed_behavior_enriched_context,74,5621.0,0.009249377,3867.1958764573046,24.0,0.0,6.0,1.0,female,free,2,little,unknown,car,female,35 and over,Higher income,observed_good,1,Daniels,34231,NE,Douglasfurt,NE-561903,0.6912066551202964,0.30879334487970356,0.38770740604192677,0.6122925939580732,0.5640900715305892,0.4359099284694108
give_me_some_credit,gmsc_observed_behavior_enriched_context,58,5400.0,5.0,7359.108164901344,18.0,1.0,4.0,0.0,male,rent,3,unknown,moderate,car,male,35 and over,Higher income,good_watch,1,Dunn,64480,AZ,Port Danielbury,AZ-215302,0.511884087259404,0.48811591274059596,0.3259260254708061,0.6740739745291939,0.31644599393716366,0.6835540060628363
give_me_some_credit,gmsc_observed_behavior_enriched_context,47,7813.0,0.58369593,2705.361074923425,24.0,0.0,10.0,1.0,male,own,2,little,unknown,radio/TV,male,35 and over,Higher income,observed_good,1,Jones,44141,AK,Marcusstad,AK-855772,0.45403441871959793,0.5459655812804021,0.5833532495916421,0.41664675040835786,0.5152808124683743,0.4847191875316257
give_me_some_credit,gmsc_observed_behavior_enriched_context,81,4500.0,0.479004666,1541.6260022425397,26.0,0.0,19.0,0.0,female,own,2,rich,unknown,car,female,35 and over,Lower income,observed_good,1,Mcgrath,77887,CO,Michaelstad,CO-505346,0.37015411404225634,0.6298458859577436,0.40862370325299385,0.5913762967470062,0.2704693665474831,0.7295306334525169
give_me_some_credit,gmsc_observed_behavior_enriched_context,63,10000.0,0.438756124,1521.8895136159324,12.0,2.0,15.0,0.0,male,own,2,little,little,car,male,35 and over,Higher income,observed_bad,0,Marks,47022,IL,Lake Amymouth,IL-550316,0.6540022112043281,0.3459977887956719,0.6306704234895477,0.3693295765104523,0.7466346391079053,0.25336536089209477
give_me_some_credit,gmsc_observed_behavior_enriched_context,41,7695.0,0.472323285,2524.039468909684,12.0,0.0,11.0,0.0,male,own,2,unknown,unknown,radio/TV,male,35 and over,Higher income,observed_good,1,Farrell,02592,IN,Wallsland,IN-433717,0.6397301748309037,0.36026982516909634,0.5437985637616264,0.4562014362383736,0.6589927273716336,0.3410072726283664
give_me_some_credit,gmsc_observed_behavior_enriched_context,25,1800.0,0.037756802,9689.20830082265,41.0,1.0,3.0,0.0,female,own,2,unknown,moderate,car,female,Under 35,Lower income,good_watch,1,Smith,15660,NY,Erikchester,NY-264294,0.411452181364639,0.588547818635361,0.20437775423647175,0.7956222457635282,0.14086200647140498,0.8591379935285949
give_me_some_credit,gmsc_observed_behavior_enriched_context,34,8333.0,0.206383489,755.3354639866182,15.0,0.0,6.0,0.0,female,rent,2,little,little,furniture/equipment,female,Under 35,Higher income,observed_good,1,Allen,25981,PA,West Kevin,PA-934087,0.2724215883922845,0.7275784116077155,0.26075461973152175,0.7392453802684782,0.1076042063214606,0.8923957936785394
give_me_some_credit,gmsc_observed_behavior_enriched_context,51,5400.0,5.0,5387.936238020081,37.0,0.0,6.0,0.0,female,rent,2,little,moderate,car,female,35 and over,Higher income,good_watch,1,Osborne,28823,AK,Simpsontown,AK-803409,0.34714064552907153,0.6528593544709285,0.469889672053688,0.530110327946312,0.3008511821951857,0.6991488178048142
give_me_some_credit,gmsc_observed_behavior_enriched_context,46,4200.0,0.191144965,1952.0909740556058,16.0,0.0,7.0,1.0,male,own,2,unknown,unknown,radio/TV,male,35 and over,Lower income,observed_good,1,Bauer,50917,OH,Crystalland,OH-679477,0.7121243837499543,0.28787561625004565,0.5958866389001285,0.4041133610998715,0.7690669428054921,0.23093305719450782
give_me_some_credit,gmsc_observed_behavior_enriched_context,45,7503.0,0.554770789,5637.788648821365,35.0,1.0,21.0,0.0,male,own,2,little,unknown,car,male,35 and over,Higher income,good_watch,1,Blackburn,59788,ID,North Walterton,ID-462172,0.6088807884549471,0.3911192115450529,0.2740457920570267,0.7259542079429733,0.3491879478211152,0.6508120521788848
give_me_some_credit,gmsc_observed_behavior_enriched_context,54,3572.0,0.031626085,1201.0269138169583,14.0,0.0,8.0,1.0,male,own,2,little,little,car,male,35 and over,Lower income,observed_bad,0,Sanford,20343,VT,Lake Michelle,VT-840484,0.5465461375558306,0.4534538624441694,0.5299826578575529,0.47001734214244706,0.5537344184067186,0.4462655815932814
give_me_some_credit,gmsc_observed_behavior_enriched_context,62,16739.0,0.180824373,1365.9125855092773,5.0,0.0,10.0,0.0,male,own,1,little,little,car,male,35 and over,Higher income,observed_good,1,Wilson,95767,SD,Christineborough,SD-590885,0.7268833173151059,0.2731166826848941,0.41791178796697026,0.5820882120330297,0.6356391410674247,0.36436085893257525
give_me_some_credit,gmsc_observed_behavior_enriched_context,44,10000.0,0.544645535,3828.718075396704,5.0,0.0,12.0,2.0,male,own,1,little,unknown,business,male,35 and over,Higher income,observed_good,1,Hayes,86729,UT,Dianafort,UT-499072,0.7358326272811517,0.26416737271884827,0.4067743043130694,0.5932256956869306,0.6355437478195142,0.36445625218048583
give_me_some_credit,gmsc_observed_behavior_enriched_context,63,2500.0,0.515793683,1028.5055024712917,24.0,0.0,12.0,0.0,female,own,2,rich,unknown,car,female,35 and over,Lower income,observed_good,1,Martinez,12015,ND,Meganhaven,ND-505413,0.4564060398038702,0.5435939601961298,0.3813984209480079,0.6186015790519921,0.32093776830622583,0.6790622316937742
give_me_some_credit,gmsc_observed_behavior_enriched_context,64,16500.0,0.253984607,3827.5901907261136,37.0,0.0,30.0,1.0,female,own,1,unknown,unknown,radio/TV,female,35 and over,Higher income,observed_good,1,Miranda,09104,MT,Sherryview,MT-304514,0.45824282394683336,0.5417571760531666,0.4748222870208807,0.5251777129791193,0.411142651445438,0.588857348554562
give_me_some_credit,gmsc_observed_behavior_enriched_context,57,3098.0,0.548886738,485.4606551663286,11.0,0.0,9.0,0.0,male,own,2,little,unknown,radio/TV,male,35 and over,Lower income,observed_good,1,Chan,43430,IN,West Edward,IN-182922,0.48179533178879236,0.5182046682112076,0.45521456956849127,0.5447854304315087,0.4149588186267502,0.5850411813732498
give_me_some_credit,gmsc_observed_behavior_enriched_context,37,1.0,5.0,8015.140517956755,44.0,3.0,3.0,0.0,male,free,3,little,little,education,male,35 and over,Lower income,good_watch,1,Marshall,50551,NV,Julieland,NV-599125,0.5115396712514866,0.4884603287485134,0.30166275821195465,0.6983372417880453,0.2922969146899155,0.7077030853100846
give_me_some_credit,gmsc_observed_behavior_enriched_context,58,5400.0,5.0,4807.9236108795785,32.0,0.0,8.0,0.0,male,own,2,unknown,unknown,radio/TV,male,35 and over,Higher income,good_watch,1,Martinez,58969,OR,Freemanshire,OR-899099,0.3913675024199879,0.6086324975800121,0.5538759473132894,0.4461240526867106,0.42158921802364663,0.5784107819763534
give_me_some_credit,gmsc_observed_behavior_enriched_context,36,2250.0,0.710350955,7695.672750749726,11.0,0.0,18.0,0.0,male,own,1,little,unknown,car,male,35 and over,Lower income,good_watch,1,Contreras,96429,KY,North Michaelbury,KY-157435,0.39096136238159407,0.6090386376184059,0.4979163676152301,0.5020836323847699,0.3675744763731034,0.6324255236268965
give_me_some_credit,gmsc_observed_behavior_enriched_context,53,1333.0,0.0,3102.8459242167014,23.0,0.0,0.0,0.0,male,own,2,unknown,unknown,car,male,35 and over,Lower income,observed_good,1,Ramirez,68905,AS,Thompsonstad,AS-872461,0.36773411310940984,0.6322658868905902,0.42740573220676203,0.572594267793238,0.2838543240933185,0.7161456759066815
give_me_some_credit,gmsc_observed_behavior_enriched_context,53,6416.0,0.435405953,682.2379224953672,8.0,0.0,13.0,1.0,male,own,1,little,little,car,male,35 and over,Higher income,observed_good,1,Miller,09169,VI,Cooperbury,VI-844867,0.6484337006919445,0.3515662993080555,0.5030606927698188,0.4969393072301812,0.6302700296264993,0.36972997037350086
give_me_some_credit,gmsc_observed_behavior_enriched_context,62,7470.0,0.402355776,2644.445880495185,12.0,0.0,13.0,2.0,female,own,1,little,rich,furniture/equipment,female,35 and over,Higher income,observed_good,1,Mccormick,36811,AL,South James,AL-349083,0.3038597777087437,0.6961402222912563,0.4182574210486706,0.5817425789513294,0.22270971276947088,0.7772902872305292
give_me_some_credit,gmsc_observed_behavior_enriched_context,30,2000.0,0.0,3812.9056846499275,24.0,0.0,3.0,0.0,female,own,2,little,little,radio/TV,female,Under 35,Lower income,observed_good,1,Gomez,02829,WV,Jamesport,WV-668497,0.6549962298706156,0.34500377012938443,0.4652815385890451,0.5347184614109549,0.6013150471914229,0.398684952808577
give_me_some_credit,gmsc_observed_behavior_enriched_context,71,8000.0,0.0,1430.733875060591,10.0,0.0,0.0,0.0,male,own,2,little,unknown,radio/TV,male,35 and over,Higher income,observed_good,1,Hughes,70716,AS,New Brucetown,AS-248706,0.4669622108800595,0.5330377891199405,0.5102532132023807,0.4897467867976193,0.45453732615881426,0.5454626738411856
give_me_some_credit,gmsc_observed_behavior_enriched_context,69,8001.0,0.445263684,8224.799162110876,39.0,1.0,10.0,0.0,male,free,3,little,moderate,car,male,35 and over,Higher income,good_watch,1,Lopez,21391,GA,East Johntown,GA-782278,0.7137349906782536,0.28626500932174637,0.5598491112914329,0.4401508887085671,0.7432852785749623,0.2567147214250376
give_me_some_credit,gmsc_observed_behavior_enriched_context,39,2700.0,0.529433543,4896.627662231303,45.0,0.0,6.0,4.0,female,rent,2,little,moderate,business,female,35 and over,Lower income,observed_bad,0,Duffy,70586,UT,Port Davidmouth,UT-730469,0.42349456571345256,0.5765054342865474,0.45416714395908514,0.5458328560409149,0.358168891559731,0.641831108440269
give_me_some_credit,gmsc_observed_behavior_enriched_context,63,5400.0,5.0,10139.295948250789,58.0,1.0,11.0,1.0,male,free,3,unknown,unknown,car,male,35 and over,Higher income,good_watch,1,Swanson,24423,NE,Connerfurt,NE-419073,0.38338132290795235,0.6166186770920477,0.6383632903712282,0.3616367096287718,0.5005044370335476,0.49949556296645237
give_me_some_credit,gmsc_observed_behavior_enriched_context,89,5400.0,5.0,7382.71712102762,11.0,0.0,10.0,0.0,male,own,1,little,unknown,car,male,35 and over,Higher income,good_watch,1,Bartlett,39006,MA,Ewingberg,MA-161127,0.668377889806547,0.331622110193453,0.7301685832893235,0.26983141671067645,0.8327587663812602,0.16724123361873966
give_me_some_credit,gmsc_observed_behavior_enriched_context,57,7581.0,0.260353469,1391.4924276658166,21.0,0.0,5.0,1.0,female,own,1,quite rich,rich,radio/TV,female,35 and over,Higher income,observed_good,1,Oliver,99111,KY,Elizabethstad,KY-973627,0.6001865627633225,0.3998134372366775,0.4581838807858557,0.5418161192141443,0.5368225780050986,0.4631774219949013
give_me_some_credit,gmsc_observed_behavior_enriched_context,48,1688.0,1.554174067,9004.558121278662,29.0,4.0,7.0,3.0,female,free,3,little,moderate,business,female,35 and over,Lower income,observed_bad,0,Montes,53678,FL,Stephensport,FL-501118,0.36939489997329894,0.630605100026701,0.3854064253251202,0.6145935746748799,0.25114680768261427,0.7488531923173858
give_me_some_credit,gmsc_observed_behavior_enriched_context,51,9070.0,0.162936832,2038.5569825994153,15.0,0.0,10.0,1.0,male,own,2,little,unknown,radio/TV,male,35 and over,Higher income,observed_good,1,Miranda,40947,IL,Danielberg,IL-903808,0.506834773340255,0.49316522665974505,0.3675790437466669,0.6324209562533332,0.35290253173760605,0.6470974682623939
give_me_some_credit,gmsc_observed_behavior_enriched_context,84,2600.0,0.017301038,2378.894290824251,22.0,0.0,4.0,1.0,male,rent,1,little,little,radio/TV,male,35 and over,Lower income,observed_good,1,Gay,80340,WV,Walterburgh,WV-710126,0.4494204063439021,0.5505795936560979,0.6175617989682727,0.3824382010317273,0.5461607648614998,0.4538392351385003
give_me_some_credit,gmsc_observed_behavior_enriched_context,65,4000.0,1.280929768,7075.122530207259,41.0,1.0,15.0,0.0,female,rent,2,little,moderate,car,female,35 and over,Lower income,good_watch,1,Martin,84722,MA,South Teresaburgh,MA-800544,0.44794733055422814,0.5520526694457719,0.3517006654770458,0.6482993345229542,0.28667890911528837,0.7133210908847115
give_me_some_credit,gmsc_observed_behavior_enriched_context,43,5995.0,0.162941961,7652.4992325242965,42.0,1.0,4.0,2.0,male,free,3,little,moderate,car,male,35 and over,Higher income,good_watch,1,Peterson,16101,CT,Kingberg,CT-783908,0.5507829147440855,0.44921708525591453,0.8217056147736351,0.17829438522636487,0.8376371947728359,0.16236280522716406
give_me_some_credit,gmsc_observed_behavior_enriched_context,63,5400.0,5.0,9813.972356111679,27.0,0.0,5.0,2.0,male,free,3,little,little,car,male,35 and over,Higher income,good_watch,1,Boyd,84480,CO,Lake Christyton,CO-275174,0.5048616940884572,0.49513830591154284,0.8735007967159687,0.1264992032840313,0.8653775231656763,0.13462247683432363
give_me_some_credit,gmsc_observed_behavior_enriched_context,72,3300.0,0.036049682,2545.5068424587325,20.0,0.0,4.0,1.0,male,own,3,unknown,unknown,car,male,35 and over,Lower income,observed_good,1,Norris,31955,MS,Tonifort,MS-427515,0.3581108604609147,0.6418891395390853,0.514436488123006,0.485563511876994,0.35050049469120265,0.6494995053087973
give_me_some_credit,gmsc_observed_behavior_enriched_context,52,5400.0,5.0,4729.834513881957,27.0,0.0,7.0,0.0,male,free,2,little,unknown,repairs,male,35 and over,Higher income,good_watch,1,Lee,59402,CT,East Ryanville,CT-520048,0.4819120684909978,0.5180879315090021,0.3401998393675699,0.6598001606324301,0.3045304669589024,0.6954695330410977
give_me_some_credit,gmsc_observed_behavior_enriched_context,30,1420.0,0.450387051,3630.652614477061,11.0,0.0,7.0,0.0,female,own,1,little,moderate,radio/TV,female,Under 35,Lower income,observed_good,1,Ritter,10951,MI,Joneschester,MI-548011,0.5303518763554043,0.46964812364459574,0.5384540831361315,0.4615459168638685,0.5460314579516082,0.4539685420483918
give_me_some_credit,gmsc_observed_behavior_enriched_context,63,5400.0,5.0,6802.218116677247,35.0,0.0,7.0,0.0,male,rent,3,little,moderate,car,male,35 and over,Higher income,good_watch,1,Todd,55569,PR,Katherinehaven,PR-139423,0.5191100457404084,0.4808899542595916,0.7918547413217711,0.20814525867822886,0.7894461609247594,0.21055383907524058
give_me_some_credit,gmsc_observed_behavior_enriched_context,47,7131.0,0.429893438,2362.8553233400708,6.0,0.0,6.0,2.0,male,own,1,little,little,car,male,35 and over,Higher income,observed_good,1,Bell,43237,MI,Lake Ericbury,MI-591912,0.5072559372438294,0.49274406275617055,0.3825269109235343,0.6174730890764657,0.3679922790462031,0.632007720953797
give_me_some_credit,gmsc_observed_behavior_enriched_context,30,5400.0,5.0,6059.9447433209225,21.0,0.0,3.0,0.0,female,own,2,unknown,little,furniture/equipment,female,Under 35,Higher income,good_watch,1,Peterson,07832,PA,South Nichole,PA-238860,0.36692234549692354,0.6330776545030765,0.6877662682639509,0.31223373173604907,0.5382315265096492,0.46176847349035083
give_me_some_credit,gmsc_observed_behavior_enriched_context,55,6900.0,0.0,3304.7404567809053,4.0,0.0,2.0,0.0,female,own,2,little,unknown,car,female,35 and over,Higher income,observed_good,1,Price,74936,KS,Christopherstad,KS-769037,0.39899486308023835,0.6010051369197617,0.23811966572173476,0.7618803342782652,0.15926593349987853,0.8407340665001214
give_me_some_credit,gmsc_observed_behavior_enriched_context,63,5400.0,5.0,3904.484927364006,16.0,0.0,19.0,0.0,female,own,2,unknown,unknown,car,female,35 and over,Higher income,good_watch,1,Sherman,37011,AS,Aaronmouth,AS-714743,0.600894810658196,0.39910518934180395,0.28549587210430905,0.714504127895691,0.3545278219715839,0.645472178028416
give_me_some_credit,gmsc_observed_behavior_enriched_context,38,5400.0,5.0,8651.534992636894,25.0,0.0,7.0,1.0,male,free,2,unknown,unknown,car,male,35 and over,Higher income,good_watch,1,Garcia,88333,AZ,Port Kathy,AZ-930274,0.42602227431978923,0.5739777256802108,0.5770756362291188,0.42292436377088116,0.4804230311885745,0.5195769688114256
give_me_some_credit,gmsc_observed_behavior_enriched_context,57,5400.0,5.0,5930.652416505754,24.0,2.0,6.0,3.0,male,own,3,unknown,unknown,car,male,35 and over,Higher income,good_watch,1,Hunt,84370,VA,North Carrie,VA-770285,0.612082309668523,0.38791769033147705,0.6620050369390599,0.3379949630609401,0.7383261530812181,0.2616738469187819
give_me_some_credit,gmsc_observed_behavior_enriched_context,55,4166.0,0.585793137,846.4108518921535,11.0,0.0,8.0,0.0,male,free,2,quite rich,unknown,education,male,35 and over,Lower income,observed_good,1,Cain,22477,NH,Williamshaven,NH-429978,0.5447055220903525,0.4552944779096475,0.5320272702567258,0.4679727297432742,0.5539285762346331,0.44607142376536696
give_me_some_credit,gmsc_observed_behavior_enriched_context,52,5600.0,0.258882342,3632.7389917338596,10.0,0.0,10.0,0.0,male,own,1,little,little,car,male,35 and over,Higher income,observed_good,1,Lewis,87521,ND,Lake Joshua,ND-970757,0.5644810663121402,0.43551893368785977,0.5939303356100202,0.4060696643899798,0.6338053607963913,0.36619463920360873
give_me_some_credit,gmsc_observed_behavior_enriched_context,65,5400.0,5.0,5644.240676381164,42.0,0.0,17.0,0.0,male,own,2,little,unknown,car,male,35 and over,Higher income,good_watch,1,Lee,28893,DE,New Amy,DE-469764,0.46676437189853826,0.5332356281014617,0.6725295348746851,0.32747046512531486,0.6213966147426334,0.37860338525736664
give_me_some_credit,gmsc_observed_behavior_enriched_context,57,7083.0,0.598955392,1010.6095302071201,11.0,0.0,26.0,1.0,female,own,2,little,moderate,radio/TV,female,35 and over,Higher income,observed_good,1,Walsh,87095,MS,South Brian,MS-393242,0.4248222633952083,0.5751777366047917,0.6064222886124048,0.39357771138759523,0.5095640511540154,0.49043594884598457
give_me_some_credit,gmsc_observed_behavior_enriched_context,47,4916.0,0.367907261,2708.18516645902,19.0,0.0,9.0,2.0,male,own,2,unknown,unknown,car,male,35 and over,Lower income,observed_good,1,Ayala,14372,CO,Simsbury,CO-914981,0.5394279819828043,0.4605720180171957,0.4653240225910706,0.5346759774089294,0.48202878568860696,0.517971214311393
give_me_some_credit,gmsc_observed_behavior_enriched_context,53,20000.0,0.188540573,2072.838518920669,11.0,0.0,18.0,4.0,male,own,2,unknown,unknown,radio/TV,male,35 and over,Higher income,observed_good,1,Adkins,49482,OH,Kevinport,OH-433413,0.4879333035390804,0.5120666964609196,0.43638537483770784,0.5636146251622922,0.40247813423897205,0.5975218657610278
give_me_some_credit,gmsc_observed_behavior_enriched_context,71,3703.0,0.423326134,4454.021152023656,10.0,0.0,14.0,0.0,male,own,2,little,moderate,radio/TV,male,35 and over,Lower income,observed_good,1,Jones,75219,LA,Kochport,LA-168708,0.573143210403655,0.426856789596345,0.6664291194798857,0.3335708805201143,0.7100725638545206,0.28992743614547933
give_me_some_credit,gmsc_observed_behavior_enriched_context,33,3514.0,0.479658606,2664.1690417114155,20.0,0.0,12.0,0.0,male,own,2,little,moderate,vacation/others,male,Under 35,Lower income,observed_good,1,Kaiser,54019,MP,Greenview,MP-522599,0.5857439016123072,0.41425609838769284,0.5945056459434805,0.40549435405651946,0.6542995424293307,0.3457004575706693
give_me_some_credit,gmsc_observed_behavior_enriched_context,45,1750.0,0.569960023,2958.137632315415,22.0,0.0,12.0,0.0,male,own,2,quite rich,unknown,radio/TV,male,35 and over,Lower income,observed_good,1,Perez,84214,SC,Yorkshire,SC-816111,0.7572706623619921,0.24272933763800786,0.6106479729072583,0.38935202709274175,0.8170939645169386,0.18290603548306145
give_me_some_credit,gmsc_observed_behavior_enriched_context,68,5400.0,5.0,10183.757916923412,30.0,0.0,5.0,0.0,male,free,3,little,little,car,male,35 and over,Higher income,good_watch,1,Sandoval,31409,RI,East Coreytown,RI-270524,0.5678190029362372,0.4321809970637628,0.4606579559953663,0.5393420440046337,0.5060584843709238,0.4939415156290762
give_me_some_credit,gmsc_observed_behavior_enriched_context,47,12910.0,0.280226164,1360.8072440661126,11.0,0.0,6.0,5.0,female,own,3,unknown,rich,furniture/equipment,female,35 and over,Higher income,observed_good,1,Durham,61997,FM,Port Nathanburgh,FM-516646,0.26877573444811625,0.7312242655518837,0.53656678510477,0.46343321489523004,0.27982232935654255,0.7201776706434575
give_me_some_credit,gmsc_observed_behavior_enriched_context,47,5400.0,5.0,5177.248116627928,20.0,0.0,12.0,1.0,male,rent,3,unknown,moderate,car,male,35 and over,Higher income,good_watch,1,Snyder,71107,VI,Port Colleenland,VI-216929,0.656301908083868,0.343698091916132,0.4086616755679089,0.5913383244320911,0.5464476014270006,0.45355239857299945
give_me_some_credit,gmsc_observed_behavior_enriched_context,57,18000.0,0.272429309,2511.5220489614653,11.0,0.0,10.0,4.0,male,free,2,unknown,unknown,radio/TV,male,35 and over,Higher income,observed_good,1,Townsend,11746,MN,Nicoleshire,MN-717829,0.5196129358363808,0.4803870641636192,0.5696689726578634,0.4303310273421366,0.566592942176007,0.433407057823993
give_me_some_credit,gmsc_observed_behavior_enriched_context,49,10326.0,0.205577612,3193.8031162753555,38.0,0.0,8.0,1.0,male,own,2,little,little,furniture/equipment,male,35 and over,Higher income,observed_good,1,Hughes,29692,OK,Sharonside,OK-528133,0.7411925362936854,0.2588074637063146,0.5534124993827506,0.4465875006172494,0.7641585192261,0.23584148077390002
give_me_some_credit,gmsc_observed_behavior_enriched_context,34,0.0,5.0,7513.426011532514,25.0,0.0,3.0,2.0,male,own,1,little,little,business,male,Under 35,Lower income,good_watch,1,Day,15988,ID,East Jamesside,ID-397176,0.6870924452505308,0.3129075547494692,0.5542414534527347,0.4457585465472653,0.7136862272582912,0.28631377274170866
